control_id,original_report_category,canonical_system,original_name,clinical_label
M319,(Male Hormone) Analysis Report Card,Male hormone profile,Luteinizing Hormone (LH),Luteinizing Hormone (LH)
M320,(Male Hormone) Analysis Report Card,Male hormone profile,Prolactin(PRL),Prolactin(PRL)
M321,(Male Hormone) Analysis Report Card,Male hormone profile,Follicle Stimulating Hormone(FSH),Follicle Stimulating Hormone(FSH)
M322,(ADHD) Analysis Report Card,ADHD-related patterns,An oxygen-hydroxy phenyl ethanol,An oxygen-hydroxy phenyl ethanol
M323,(ADHD) Analysis Report Card,ADHD-related patterns,GE neurotransmitters,GE neurotransmitters
M324,(ADHD) Analysis Report Card,ADHD-related patterns,Vanilloid,Vanilloid
M325,(ADHD) Analysis Report Card,ADHD-related patterns,Creatine hormone,Creatine hormone
M326,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Observation,Observation
M327,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Memory,Memory
M328,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Imagination,Imagination
M329,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Creativity,Vanilloid
M330,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Analysis and Judgment,Analysis and Judgment
M331,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Thinking Ability,Thinking Ability
M332,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Resilience,Resilience
M333,(Adolescent Intelligence) Analysis Report Card,Adolescent intelligence,Reasoning Ability,Reasoning Ability
M334,(Element of Human) Analysis Report Card,Body composition,Height and body mass index,Height and body mass index
M335,(Element of Human) Analysis Report Card,Body composition,Height bust index,Height bust index
M336,(Element of Human) Analysis Report Card,Body composition,Height sitting height index,Height sitting height index
M338,(Element of Human) Analysis Report Card,Body composition,Grip and back muscle index,Grip and back muscle index
M339,(Element of Human) Analysis Report Card,Body composition,Vital capacity index,Vital capacity index
